Category	Term	Count	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	%
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	86	3.56E-15	"YWHAE, RPLP1, REG1B, TNFAIP3, ANTXR1, N4BP2L2, ACTB, JCHAIN, ACTG1, RPL7A, EFR3A, SLK, PPP2R1A, SIT1, RACK1, DIP2B, TNPO1, GOLGA7, B2M, GLUL, ACTR3, PARP4, SPINK1, ANXA1, MMP7, ANXA4, ANXA5, BGN, KRT78, ADAM10, RPS3A, HLA-A, SND1, SUB1, CSNK2B, PECAM1, CHMP3, PABPC1, SLC25A5, GAPDH, RAB1A, C5ORF46, RALB, TMED10, CAB39, SEMA3C, C1S, PON1, PLD3, HSP90B1, NME1-NME2, LMAN1, PRDX1, UBC, PLCG2, MAL2, A2M, SPTBN1, CD74, HSPA8, GFPT1, CRIM1, MSN, LAMB1, GNG12, SOD2, RAB10, MYO1D, GATM, MYO1B, EIF2S3, COL1A2, ARPC2, GNAQ, DNAJA2, HNRNPA2B1, RAB18, HLA-DRA, SERINC1, VIM, P4HB, ANXA2P2, CALM2, PAM, FBN1, ITM2C"	236	2811	18224	2.362486358	1.18E-12	1.18E-12	1.10E-12	23.49726776
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	26	4.79E-11	"YWHAE, RPLP1, RPL8, ACTB, ACTG1, HSP90B1, CORO1C, LIMA1, RPL7A, PPP1CC, B2M, JAK1, ACTR3, HSPA8, ANXA1, ANXA5, ADAM10, MSN, RPS3A, RAB10, MMP14, ARPC2, VIM, PABPC1, P4HB, BCAR1"	236	391	18224	5.134856301	1.59E-08	7.93E-09	7.43E-09	7.103825137
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	22	2.79E-10	"HSPA8, MMP7, PRKDC, BGN, LAMB1, RPS3A, ACTG1, HSP90B1, COL1A1, COL3A1, MMP14, VCAN, SFRP2, COL1A2, PRDX1, VIM, P4HB, SLC25A5, GAPDH, PRSS2, SLC25A6, FBN1"	236	296	18224	5.739349519	9.22E-08	3.07E-08	2.88E-08	6.010928962
GOTERM_CC_DIRECT	GO:0005615~extracellular space	41	5.77E-07	"BMPR2, SEMA3C, PON1, ACTB, ACTG1, JCHAIN, LGALS4, PRDX1, UBC, SOSTDC1, LRIG3, GAST, PRSS2, RPL39, B2M, CPA4, CPA2, HSPA8, CPA1, MMP7, SPINK1, ANXA1, KRT78, MSN, LAMB1, KERA, PXDNL, MT3, GREM1, COL1A1, COL3A1, VCAN, SFRP2, OLFM3, COL1A2, CNOT1, IFNK, PECAM1, ANGPTL4, PAM, FBN1"	236	1347	18224	2.350433481	1.91E-04	4.77E-05	4.47E-05	11.20218579
GOTERM_CC_DIRECT	GO:0016020~membrane	56	8.46E-07	"YWHAE, CNTNAP2, ATP2A2, STON2, RPL8, ACTB, ACTG1, RPL7A, LAPTM4A, MED13, RPL18A, PPP2R1A, KIF5B, DIP2B, B2M, JAK1, ACTR3, PDGFRA, DDX18, PARP4, CERS6, IL11RA, ELOVL5, RPS6, ANXA5, EMP1, ADAM10, HLA-A, DDX50, HLA-G, SND1, VCAN, HNRNPH1, EXOC4, YME1L1, PABPC1, SLC25A5, GAPDH, RPL10, PRKDC, HSP90B1, LMAN1, UGCG, EDEM3, CD74, HSPA8, CD163, USP9X, RAD50, CNOT1, GNAQ, DNAJC10, DNAJA2, HNRNPA2B1, PAM, RPS23"	236	2200	18224	1.965608629	2.80E-04	5.60E-05	5.24E-05	15.30054645
GOTERM_CC_DIRECT	GO:0042470~melanosome	10	6.31E-06	"YWHAE, HSPA8, RAB1A, MMP14, TMED10, PRDX1, ANXA2P2, P4HB, SND1, HSP90B1"	236	101	18224	7.645578117	0.002085869	3.48E-04	3.26E-04	2.732240437
GOTERM_CC_DIRECT	GO:0005829~cytosol	70	1.79E-05	"EPHB6, YWHAE, RPLP1, TNFAIP3, RPL8, ACTB, ACTG1, GYS2, LGALS4, RPL7A, PPP1CC, EFR3A, RPL18A, PPP2R1A, RACK1, TNPO1, RPL39, GLUL, JAK1, ACTR3, USP7, WSB1, RPS6, RPS3A, HAUS5, MAP1B, CSNK2B, EXOC4, CHMP3, PABPC1, GAPDH, RAB1A, CAB39, ROCK1, KLHL14, RPL10, PRKDC, UBR2, HSD17B11, HSP90B1, NME1-NME2, MAT2A, PRDX1, UBC, PLCG2, CTNNA2, A2M, SPTBN1, HSPA8, USP9X, NRDC, GFPT1, MT3, MYO1D, GOLPH3, EIF2S3, ARPC2, CNOT1, FABP7, DNAJA2, PDE3A, RAB18, MDM2, PDCD4, TPP2, VIM, LPIN1, CALM2, BCAR1, RPS23"	236	3315	18224	1.630595393	0.005905957	8.46E-04	7.93E-04	19.12568306
GOTERM_CC_DIRECT	GO:0005913~cell-cell adherens junction	16	2.07E-05	"YWHAE, RAB1A, HSPA8, ANXA1, SND1, RAB10, LIMA1, RPL7A, MYO1B, EIF2S3, SLK, KIF5B, PRDX1, RACK1, CTNNA2, SPTBN1"	236	323	18224	3.825156111	0.006816425	8.55E-04	8.01E-04	4.371584699
GOTERM_CC_DIRECT	GO:0012507~ER to Golgi transport vesicle membrane	7	5.35E-05	"CD74, LMAN1, TMED10, HLA-DRA, HLA-A, B2M, HLA-G"	236	52	18224	10.39504563	0.017547375	0.001966965	0.001842172	1.912568306
GOTERM_CC_DIRECT	GO:0043209~myelin sheath	10	1.61E-04	"MYO1D, NME1-NME2, HSPA8, PRDX1, MSN, SLC25A5, SOD2, GLUL, ACTB, ACTG1"	236	152	18224	5.080285459	0.051766644	0.005315038	0.00497783	2.732240437
